2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment distribution, percent, 2022","Employment distribution, percent, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Occupational openings, 2022-32 annual average"
"Total, all occupations",00-0000,Summary,"164,482.6","169,148.1",100.0,100.0,"4,665.5",2.8,"18,566.5"
  Management occupations,11-0000,Summary,"12,574.7","13,257.7",7.6,7.8,683.0,5.4,"1,053.1"
    Top executives,11-1000,Summary,"3,832.2","3,958.0",2.3,2.3,125.8,3.3,315.0
      Chief executives,11-1011,Line item,280.0,257.0,0.2,0.2,-23.0,-8.2,15.3
      General and operations managers,11-1021,Line item,"3,507.8","3,655.1",2.1,2.2,147.3,4.2,296.3
      Legislators,11-1031,Line item,44.4,46.0,0.0,0.0,1.5,3.4,3.4
"    Advertising, marketing, promotions, public relations, and sales managers",11-2000,Summary,"1,049.4","1,102.2",0.6,0.7,52.8,5.0,85.0
      Advertising and promotions managers,11-2011,Line item,30.9,31.4,0.0,0.0,0.6,1.9,2.8
      Marketing and sales managers,11-2020,Summary,912.9,959.1,0.6,0.6,46.2,5.1,74.4
        Marketing managers,11-2021,Line item,358.2,381.9,0.2,0.2,23.7,6.6,31.2
        Sales managers,11-2022,Line item,554.7,577.2,0.3,0.3,22.5,4.0,43.2
      Public relations and fundraising managers,11-2030,Summary,105.7,111.7,0.1,0.1,6.0,5.7,7.8
        Public relations managers,11-2032,Line item,72.0,76.3,0.0,0.0,4.3,5.9,5.4
        Fundraising managers,11-2033,Line item,33.7,35.4,0.0,0.0,1.7,5.1,2.5
    Operations specialties managers,11-3000,Summary,"2,455.5","2,722.6",1.5,1.6,267.1,10.9,205.5
      Administrative services and facilities managers,11-3010,Summary,377.8,397.7,0.2,0.2,19.9,5.3,31.4
        Administrative services managers,11-3012,Line item,250.8,264.9,0.2,0.2,14.0,5.6,21.1
        Facilities managers,11-3013,Line item,127.0,132.8,0.1,0.1,5.8,4.6,10.3
      Computer and information systems managers,11-3021,Line item,557.4,643.3,0.3,0.4,86.0,15.4,46.9
      Financial managers,11-3031,Line item,792.6,919.2,0.5,0.5,126.6,16.0,69.6
      Industrial production managers,11-3051,Line item,222.1,225.7,0.1,0.1,3.6,1.6,15.3
      Purchasing managers,11-3061,Line item,77.5,80.9,0.0,0.0,3.4,4.4,6.1
"      Transportation, storage, and distribution managers",11-3071,Line item,177.7,192.3,0.1,0.1,14.6,8.2,15.9
      Compensation and benefits managers,11-3111,Line item,17.5,17.8,0.0,0.0,0.4,2.2,1.1
      Human resources managers,11-3121,Line item,191.6,201.6,0.1,0.1,10.0,5.2,15.5
      Training and development managers,11-3131,Line item,41.3,44.0,0.0,0.0,2.7,6.5,3.5
    Other management occupations,11-9000,Summary,"5,237.5","5,474.9",3.2,3.2,237.4,4.5,447.6
"      Farmers, ranchers, and other agricultural managers",11-9013,Line item,922.9,880.6,0.6,0.5,-42.3,-4.6,88.8
      Construction managers,11-9021,Line item,505.8,528.7,0.3,0.3,22.9,4.5,38.7
      Education and childcare administrators,11-9030,Summary,651.0,661.4,0.4,0.4,10.3,1.6,44.1
